SchoolNumber;Name;Address
401046;Bundes-Oberstufenrealgymnasium;4020 Linz, Donau, Honauerstraße 24
401417;Höhere technische Bundeslehranstalt;4020 Linz, Donau, Goethestraße 17
401467;Höhere technische Bundeslehranstalt "LiTEC Linzer Technikum";4020 Linz, Donau, Paul-Hahn-Straße 4
402417;Höhere technische Bundeslehranstalt;4400 Steyr, Schlüsselhofgasse 63
403427;Höhere technische Lehranstalt für Lebensmitteltechnologie- Getreidewirtschaft des Landes OÖ;4600 Wels, Carl Blum-Straße 4
403457;Höhere technische Bundeslehranstalt;4600 Wels, Fischergasse 30
404427;Höhere technische Bundeslehranstalt;5280 Braunau am Inn, Osternbergerstraße 55
407417;Höhere technische Bundeslehranstalt;4830 Hallstatt, Lahnstraße 69
408016;Bundes-Oberstufenrealgymnasium;4710 Grieskirchen, Gymnasiumstraße 2
408427;Höhere technische Bundeslehranstalt;4710 Grieskirchen, Parzer Schulstraße 1
409036;Bundesrealgymnasium und Bundes-Oberstufenrealgymnasium;4560 Kirchdorf an der Krems, Weinzierler Straße 22
410427;Höhere technische Bundeslehranstalt;4060 Leonding, Limesstraße 12-14
410457;Höhere technische Bundeslehranstalt Traun;4050 Traun, Bahnhofstraße 52
411016;Bundes-Oberstufenrealgymnasium;4320 Perg, Dirnbergerstraße 43
411457;Höhere technische Bundeslehranstalt;4320 Perg, Machlandstraße 48
412026;Bundes-Oberstufenrealgymnasium;4910 Ried im Innkreis, Dr.Thomas-Senn-Straße 5
412477;Höhere technische Bundeslehranstalt;4910 Ried im Innkreis, Molkereistraße 2
413417;Technische Fachschule des Landes Oberösterreich;4170 Haslach an der Mühl, Grubberg 3
413447;Höhere technische Bundeslehranstalt;4120 Neufelden, Höferweg 47
414437;Höhere technische Bundeslehranstalt;4770 Andorf, Hannes-Schrattenecker-Straße 1
416016;Bundes-Oberstufenrealgymnasium;4190 Bad Leonfelden, Hagauerstraße 17
417427;Höhere technische Bundeslehranstalt;4840 Vöcklabruck, Bahnhofstraße 42